language	template	sample	position	relpos	prominence	size	c1	c0	f1	f0	entropy
eng	iam5	milpar	1	0	0	2220	546	1674	0.24594594594594596	0.754054054054054	0.8047891408989483
eng	iam5	milpar	2	0.1111111111111111	1	2220	1563	657	0.7040540540540541	0.2959459459459459	0.8762786524085286
eng	iam5	milpar	3	0.2222222222222222	0	2220	139	2081	0.06261261261261261	0.9373873873873874	0.3377298757384598
eng	iam5	milpar	4	0.3333333333333333	1	2220	1632	588	0.7351351351351352	0.2648648648648649	0.833999142831494
eng	iam5	milpar	5	0.4444444444444444	0	2220	206	2014	0.09279279279279279	0.9072072072072072	0.4457237287305281
eng	iam5	milpar	6	0.5555555555555556	1	2220	1721	499	0.7752252252252252	0.22477477477477478	0.7687907562129264
eng	iam5	milpar	7	0.6666666666666666	0	2220	195	2025	0.08783783783783784	0.9121621621621622	0.4292113255093797
eng	iam5	milpar	8	0.7777777777777778	1	2220	1443	777	0.65	0.35	0.9340680553754911
eng	iam5	milpar	9	0.8888888888888888	0	2220	118	2102	0.05315315315315315	0.9468468468468468	0.2996432508531457
eng	iam5	milpar	10	1	1	2220	2099	121	0.9454954954954955	0.0545045045045045	0.3052320184570819
