language	template	sample	position	relpos	prominence	size	c1	c0	f1	f0	entropy
eng	iam5	shakson	1	0	0	1979	381	1598	0.19252147549267307	0.8074785245073269	0.7067164914215077
eng	iam5	shakson	2	0.1111111111111111	1	1979	1194	785	0.6033350176856999	0.39666498231430014	0.9689662734210928
eng	iam5	shakson	3	0.2222222222222222	0	1979	229	1750	0.11571500757958565	0.8842849924204144	0.516917049531767
eng	iam5	shakson	4	0.3333333333333333	1	1979	1694	285	0.8559878726629611	0.14401212733703891	0.5946505291907187
eng	iam5	shakson	5	0.4444444444444444	0	1979	192	1787	0.09701869631126832	0.9029813036887316	0.4594732070699449
eng	iam5	shakson	6	0.5555555555555556	1	1979	1348	631	0.6811520970186963	0.31884790298130367	0.9031241921121237
eng	iam5	shakson	7	0.6666666666666666	0	1979	187	1792	0.0944921677614957	0.9055078322385043	0.4512889519609964
eng	iam5	shakson	8	0.7777777777777778	1	1979	1410	569	0.7124810510358767	0.2875189489641233	0.8654947065745839
eng	iam5	shakson	9	0.8888888888888888	0	1979	142	1837	0.0717534108135422	0.9282465891864579	0.37243322919444793
eng	iam5	shakson	10	1	1	1979	1785	194	0.9019706922688226	0.09802930773117736	0.462717336132814
