# source: http://www.linguistics.ucla.edu/people/hayes/ShakespeareAndMilton/
# author: milton
# title: paradise lost, books 8, 9.
# coder: bruce hayes
1	syllables	NO more of talk where God or Angel Guest	NO	more	of	talk	where	God	or	An	gel	Guest	
1	stress	NO more of talk where God or Angel Guest	1	3	1	3	1	3	1	3	1	3	
1	juncture	NO more of talk where God or Angel Guest	2	3	2	3	2	4	2	1	3	4	
1	comment	NO more of talk where God or Angel Guest											
2	syllables	With Man, as with his Friend, familiar us'd	With	Man,	as	with	his	Friend,	fa	mi	liar	us'd	
2	stress	With Man, as with his Friend, familiar us'd	1	4	1	1	1	4	1	3	1	3	
2	juncture	With Man, as with his Friend, familiar us'd	2	5	2	2	2	5	1	1	3	3	
2	comment	With Man, as with his Friend, familiar us'd											
3	syllables	To sit indulgent, and with him partake	To	sit	in	dul	gent,	and	with	him	par	take	
3	stress	To sit indulgent, and with him partake	1	3	1	4	1	1	1	1	1	3	
3	juncture	To sit indulgent, and with him partake	2	3	1	1	5	2	2	4	1	3	
3	comment	To sit indulgent, and with him partake											
4	syllables	Rural repast, permitting him the while	Ru	ral	re	past,	per	mit	ting	him	the	while	
4	stress	Rural repast, permitting him the while	3	1	1	4	1	3	1	1	1	2	
4	juncture	Rural repast, permitting him the while	1	3	1	5	1	1	2	3	2	4	
4	comment	Rural repast, permitting him the while											
5	syllables	Venial discourse unblam'd: I now must change	Ve	nial	dis	course	un	blam'd:	I	now	must	change	
5	stress	Venial discourse unblam'd: I now must change	3	1	1	3	1	4	1	3	1	3	
5	juncture	Venial discourse unblam'd: I now must change	1	3	1	4	1	5	2	3	2	3	
5	comment	Venial discourse unblam'd: I now must change											
6	syllables	Those Notes to Tragic; foul distrust, and breach	Those	Notes	to	Tra	gic;	foul	dis	trust,	and	breach	
6	stress	Those Notes to Tragic; foul distrust, and breach	1	3	1	4	1	3	1	4	1	3	
6	juncture	Those Notes to Tragic; foul distrust, and breach	2	4	2	1	5	3	1	5	2	3	
6	comment	Those Notes to Tragic; foul distrust, and breach											
7	syllables	Disloyal on the part of Man, revolt,	Dis	lo	yal	on	the	part	of	Man,	re	volt,	
7	stress	Disloyal on the part of Man, revolt,	1	4	1	1	1	3	1	4	1	4	
7	juncture	Disloyal on the part of Man, revolt,	1	1	4	2	2	3	2	5	1	5	
