# source: http://www.linguistics.ucla.edu/people/hayes/ShakespeareAndMilton/
# author: shakespeare
# title: sonnets
# coder: bruce hayes
1	syllables	From fairest creatures we desire increase,	From	fai	rest	crea	tures	we	de	sire	in	crease,	
1	stress	From fairest creatures we desire increase,	1	3	1	4	1	1	1	3	1	4	
1	juncture	From fairest creatures we desire increase,	2	1	3	1	3	2	1	3	1	5	
1	comment	From fairest creatures we desire increase,	poem initial										
2	syllables	That thereby beauty's rose might never die,	That	there	by	beau	ty's	rose	might	ne	ver	die,	
2	stress	That thereby beauty's rose might never die,	1	3	2	3	1	4	1	3	1	4	
2	juncture	That thereby beauty's rose might never die,	2	2	3	1	4	4	2	1	3	5	
2	comment	That thereby beauty's rose might never die,											
3	syllables	But as the riper should by time decease,	But	as	the	ri	per	should	by	time	de	cease,	
3	stress	But as the riper should by time decease,	1	1	1	3	1	1	1	3	1	4	
3	juncture	But as the riper should by time decease,	2	2	2	1	4	2	2	4	1	5	
3	comment	But as the riper should by time decease,											
4	syllables	His tender heir might bear his memory:	His	ten	der	heir	might	bear	his	me	mo	ry:	
4	stress	His tender heir might bear his memory:	1	3	1	4	1	3	1	4	1	1	
4	juncture	His tender heir might bear his memory:	2	1	3	4	2	3	2	1	1	5	
4	comment	His tender heir might bear his memory:											
5	syllables	But thou contracted to thine own bright eyes,	But	thou	con	trac	ted	to	thine	own	bright	eyes,	
5	stress	But thou contracted to thine own bright eyes,	1	1	1	3	1	1	1	2	3	4	
5	juncture	But thou contracted to thine own bright eyes,	2	2	1	1	3	2	2	2	3	5	
5	comment	But thou contracted to thine own bright eyes,											
6	syllables	Feed'st thy light's flame with self-substantial fuel,	Feed'st	thy	light's	flame	with	self-	subs	tan	tial	fuel,	
6	stress	Feed'st thy light's flame with self-substantial fuel,	3	1	3	4	1	3	1	2	1	4	
6	juncture	Feed'st thy light's flame with self-substantial fuel,	3	2	4	4	2	2	1	1	3	5	
6	comment	Feed'st thy light's flame with self-substantial fuel,											
7	syllables	Making a famine where abundance lies,	Ma	king	a	fa	mine	where	a	bun	dance	lies,	
7	stress	Making a famine where abundance lies,	3	1	1	4	1	1	1	4	1	3	
7	juncture	Making a famine where abundance lies,	1	3	2	1	4	2	1	1	4	5	
7	comment	Making a famine where abundance lies,											
8	syllables	Thy self thy foe, to thy sweet self too cruel:	Thy	self	thy	foe,	to	thy	sweet	self	too	cru el:	
8	stress	Thy self thy foe, to thy sweet self too cruel:	1	3	1	4	1	1	3	4	1	4	
8	juncture	Thy self thy foe, to thy sweet self too cruel:	2	4	2	5	2	2	3	4	2	5	
8	comment	Thy self thy foe, to thy sweet self too cruel:	Sweet self in Shakespeare:  2 RR context, 1 SW, 4 WS.  Looks like a normal phrase to me.										
9	syllables	Thou that art now the world's fresh ornament,	Thou	that	art	now	the	world's	fresh	or	na	ment,	
9	stress	Thou that art now the world's fresh ornament,	1	1	1	3	1	3	2	4	1	1	
9	juncture	Thou that art now the world's fresh ornament,	2	2	2	3	2	4	3	1	1	5	
9	comment	Thou that art now the world's fresh ornament,											
10	syllables	And only herald to the gaudy spring,	And	on	ly	he	rald	to	the	gau	dy	spring,	
10	stress	And only herald to the gaudy spring,	1	3	1	4	1	1	1	3	1	4	
10	juncture	And only herald to the gaudy spring,	2	1	3	1	4	2	2	1	3	5	
10	comment	And only herald to the gaudy spring,											
11	syllables	Within thine own bud buriest thy content,	With	in	thine	own	bud	bu	riest	thy	con	tent,	
11	stress	Within thine own bud buriest thy content,	1	2	1	1	4	3	1	1	1	4	
11	juncture	Within thine own bud buriest thy content,	1	2	2	2	4	1	3	2	1	5	
11	comment	Within thine own bud buriest thy content,											
12	syllables	And tender churl mak'st waste in niggarding:	And	ten	der	churl	mak'st	waste	in	nig	gar	ding:	
12	stress	And tender churl mak'st waste in niggarding:	1	3	1	4	3	4	1	4	1	1	
12	juncture	And tender churl mak'st waste in niggarding:	2	1	3	4	3	4	2	1	1	5	
