language	template	sample	position	relpos	prominence	size	c1	c0	f1	f0	entropy
san	iam6a	rgveda11	1	0	0	11454	5612	5842	0.49	0.51	0.9997091192056826
san	iam6a	rgveda11	2	0.1	1	11454	9850	1604	0.86	0.14	0.5843394069866237
san	iam6a	rgveda11	3	0.2	0	11454	5956	5498	0.52	0.48	0.9988463424001763
san	iam6a	rgveda11	4	0.3	1	11454	10996	458	0.96	0.040000000000000036	0.24222813844595686
san	iam6a	rgveda11	5	0.4	0	11454	7216	4238	0.63	0.37	0.9506734333910197
san	iam6a	rgveda11	6	0.5	1	11454	1374	10080	0.12	0.88	0.5292403936096547
san	iam6a	rgveda11	7	0.6	0	11454	4582	6872	0.4	0.6	0.9709710190238591
san	iam6a	rgveda11	8	0.7	1	11454	11110	344	0.97	0.030000000000000027	0.19455820746777502
san	iam6a	rgveda11	9	0.8	0	11454	458	10996	0.04	0.96	0.24222813844595686
san	iam6a	rgveda11	10	0.9	1	11454	11225	229	0.98	0.020000000000000018	0.14140132503230007
san	iam6a	rgveda11	11	1	0	11454	8705	2749	0.76	0.24	0.7950460867922464
san	iam6b	rgveda12	1	0	0	11454	5842	5612	0.51	0.49	0.9997091192056826
san	iam6b	rgveda12	2	0.09090909090909091	1	11454	9965	1489	0.87	0.13	0.5574333962818491
san	iam6b	rgveda12	3	0.18181818181818182	0	11454	5842	5612	0.51	0.49	0.9997091192056826
san	iam6b	rgveda12	4	0.2727272727272727	1	11454	10881	573	0.95	0.050000000000000044	0.2865082072423262
san	iam6b	rgveda12	5	0.36363636363636365	0	11454	7674	3780	0.67	0.32999999999999996	0.91494242794684
san	iam6b	rgveda12	6	0.45454545454545453	1	11454	1145	10309	0.1	0.9	0.46888488274829415
san	iam6b	rgveda12	7	0.5454545454545454	0	11454	4238	7216	0.37	0.63	0.9506734333910197
san	iam6b	rgveda12	8	0.6363636363636364	1	11454	11110	344	0.97	0.030000000000000027	0.19455820746777502
san	iam6b	rgveda12	9	0.7272727272727273	0	11454	344	11110	0.03	0.97	0.19455820746777502
san	iam6b	rgveda12	10	0.8181818181818182	1	11454	11225	229	0.98	0.020000000000000018	0.14140132503230007
san	iam6b	rgveda12	11	0.9090909090909091	0	11454	115	11339	0.01	0.99	0.08105925775332756
san	iam6b	rgveda12	12	1	1	11454	9507	1947	0.83	0.17000000000000004	0.657668828137636
san	iam4	rgveda8	1	0	0	15000	7950	7050	0.53	0.47	0.9974015885677396
san	iam4	rgveda8	2	0.14285714285714285	1	15000	11550	3450	0.77	0.22999999999999998	0.7780113035465377
san	iam4	rgveda8	3	0.2857142857142857	0	15000	10050	4950	0.67	0.32999999999999996	0.9149263727797274
san	iam4	rgveda8	4	0.42857142857142855	1	15000	11850	3150	0.79	0.20999999999999996	0.7414827399312737
san	iam4	rgveda8	5	0.5714285714285714	0	15000	1200	13800	0.08	0.92	0.4021791902022728
san	iam4	rgveda8	6	0.7142857142857143	1	15000	13950	1050	0.93	0.06999999999999995	0.36592365090022316
san	iam4	rgveda8	7	0.8571428571428571	0	15000	750	14250	0.05	0.95	0.28639695711595625
san	iam4	rgveda8	8	1	1	15000	12300	2700	0.82	0.18000000000000005	0.6800770457282799
