sample	position	f1	f0	language	template	prominence	size	c1	c0	entropy
rgveda11	1	0.49	0.51	san	iam6a	0	11454	5612	5842	0.9997091192056826
rgveda11	2	0.86	0.14	san	iam6a	1	11454	9850	1604	0.5843394069866237
rgveda11	3	0.52	0.48	san	iam6a	0	11454	5956	5498	0.9988463424001763
rgveda11	4	0.96	0.040000000000000036	san	iam6a	1	11454	10996	458	0.24222813844595686
rgveda11	5	0.63	0.37	san	iam6a	0	11454	7216	4238	0.9506734333910197
rgveda11	6	0.12	0.88	san	iam6a	1	11454	1374	10080	0.5292403936096547
rgveda11	7	0.4	0.6	san	iam6a	0	11454	4582	6872	0.9709710190238591
rgveda11	8	0.97	0.030000000000000027	san	iam6a	1	11454	11110	344	0.19455820746777502
rgveda11	9	0.04	0.96	san	iam6a	0	11454	458	10996	0.24222813844595686
rgveda11	10	0.98	0.020000000000000018	san	iam6a	1	11454	11225	229	0.14140132503230007
rgveda11	11	0.76	0.24	san	iam6a	0	11454	8705	2749	0.7950460867922464
rgveda12	1	0.51	0.49	san	iam6b	0	11454	5842	5612	0.9997091192056826
rgveda12	2	0.87	0.13	san	iam6b	1	11454	9965	1489	0.5574333962818491
rgveda12	3	0.51	0.49	san	iam6b	0	11454	5842	5612	0.9997091192056826
rgveda12	4	0.95	0.050000000000000044	san	iam6b	1	11454	10881	573	0.2865082072423262
rgveda12	5	0.67	0.32999999999999996	san	iam6b	0	11454	7674	3780	0.91494242794684
rgveda12	6	0.1	0.9	san	iam6b	1	11454	1145	10309	0.46888488274829415
rgveda12	7	0.37	0.63	san	iam6b	0	11454	4238	7216	0.9506734333910197
rgveda12	8	0.97	0.030000000000000027	san	iam6b	1	11454	11110	344	0.19455820746777502
rgveda12	9	0.03	0.97	san	iam6b	0	11454	344	11110	0.19455820746777502
rgveda12	10	0.98	0.020000000000000018	san	iam6b	1	11454	11225	229	0.14140132503230007
rgveda12	11	0.01	0.99	san	iam6b	0	11454	115	11339	0.08105925775332756
rgveda12	12	0.83	0.17000000000000004	san	iam6b	1	11454	9507	1947	0.657668828137636
rgveda8	1	0.53	0.47	san	iam4	0	15000	7950	7050	0.9974015885677396
rgveda8	2	0.77	0.22999999999999998	san	iam4	1	15000	11550	3450	0.7780113035465377
rgveda8	3	0.67	0.32999999999999996	san	iam4	0	15000	10050	4950	0.9149263727797274
rgveda8	4	0.79	0.20999999999999996	san	iam4	1	15000	11850	3150	0.7414827399312737
rgveda8	5	0.08	0.92	san	iam4	0	15000	1200	13800	0.4021791902022728
rgveda8	6	0.93	0.06999999999999995	san	iam4	1	15000	13950	1050	0.36592365090022316
rgveda8	7	0.05	0.95	san	iam4	0	15000	750	14250	0.28639695711595625
rgveda8	8	0.82	0.18000000000000005	san	iam4	1	15000	12300	2700	0.6800770457282799
